owner_org,???? Dataset ID,title,????????????? Domain,????????????????? Sub_Domain,???????????????? Data_Entity,???????????????? Related Hazards,???? Sectors,???????????? Temporal Dimension,???????? Time Period,????? Unit,??????????????????? Temporal Resolution,geo_coverage,?????????????????????? Spatial Resolution,data_format,accessible_condition,url,???????? Limitations / Gaps,???????? Remarks,data_source,???????????????? Source_Type,??????????????? Access_Level (2),???????? Remarks (2),data_type,maintainer,maintainer_email,tag_string,notes,objective,update_frequency_unit,update_frequency_interval,data_category,license_id,created_date,last_updated_date,data_support,data_collect,data_language,high_value_dataset,reference_data
DGR,DGR_1_1,?????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Heat (?????????????),Human Settlement — ???????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,??????.?.,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????,,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,
DGR,DGR_1_2,??????????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Heat (?????????????),Human Settlement — ???????????; Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,???? ??.?./??,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????,,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,
DGR,DGR_1_3,???????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Heat (?????????????),Agriculture — ?????; Human Settlement — ???????????; Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,???? ??.?./??,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????,,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,
DIW,DIW_1_1,?????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????); Heat (?????????????),Human Settlement — ???????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,????,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????????????? / ?????????????????????????????? (???.),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
DIW,DIW_1_2,????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????); Heat (?????????????),Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,????,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????????????? / ????????????????? / ?????????????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
DNP,DNP_1_1,??????????????????????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),Natural Resources — ????????????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ????????????????? ???????? ???????????? (??????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
DOAE,DOAE_1_1,??????????????????????????,Forward-looking,Vulnerability,ADAPTIVE_CAPACITY,Drought (???????); Flood (???????); Heat (?????????????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,??,Annual,National,Province,CSV,Restricted,-,-,????????: ??????????????????? / ???????????????????????? (??????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
EGAT,EGAT_1_1,?????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Flood (???????),Human Settlement — ???????????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????? / ??????????????????? / ???????????????,Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
OAE,OAE_1_1,???????????????????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????); Heat (?????????????),Water — ???,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,-,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????????? / ?????????????? (???????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
OAE,OAE_1_2,?????????????????????????????,Forward-looking,Exposure,EXPOSED_ASSET,Drought (???????); Flood (???????),Agriculture — ?????,Historical; Projected,1960-2014; 2015-2040; 2041-2060; 2061-2080; 2081-2100,???,Annual,National,Province,CSV,Restricted,-,-,????????: ???????????????????????? / ??????????? (?????????????????????????????),Report ????????????????????????????????????????????????????????????????????????????????????????????????,Report,Restricted,,,,,,,,,,,,,,,,,,
